ttr,avg_sentence_length,diff_ratio,clause_density,advanced_ratio,flesch_kincaid,gunning_fog,verb_ratio,noun_ratio,adj_ratio,avg_dep_distance,word_count,sentence_count,sent_len_std,punct_density,stopword_ratio,avg_word_length,syllables_per_word,cefr_a1_ratio,cefr_a2_ratio,cefr_b1_ratio,cefr_b2_ratio,cefr_c1_ratio,cefr_c2_ratio,label_id,label_name
0.5656565656565656,10.421052631578947,0.5050505050505051,0.0,0.0707070707070707,4.15,4.37,0.0,0.0,0.0,3.090909090909091,198.0,19.0,4.922670716248388,0.18686868686868688,0.5656565656565656,4.2272727272727275,1.3282828282828283,0.6767676767676768,0.16161616161616163,0.050505050505050504,0.04040404040404041,0.0,0.0707070707070707,0,Literal
0.6368421052631579,19.0,4.736842105263158,0.0,0.11578947368421053,10.51,9.49,0.0,0.0,0.0,4.3052631578947365,190.0,10.0,7.671375365604267,0.17894736842105263,0.47368421052631576,4.926315789473684,1.5842105263157895,0.5263157894736842,0.1631578947368421,0.14210526315789473,0.05263157894736842,0.021052631578947368,0.09473684210526316,0,Literal
0.6242038216560509,26.166666666666668,0.6369426751592357,0.0,0.11464968152866242,9.8,10.72,0.0,0.0,0.0,4.961783439490445,157.0,6.0,5.527707983925667,0.1910828025477707,0.6050955414012739,3.9044585987261144,1.286624203821656,0.6305732484076433,0.17834394904458598,0.025477707006369428,0.050955414012738856,0.0,0.11464968152866242,0,Literal
0.6833333333333333,16.363636363636363,2.7777777777777777,0.0,0.08333333333333333,6.85,7.66,0.0,0.0,0.0,3.25,180.0,11.0,13.585359158707377,0.16666666666666666,0.5333333333333333,4.466666666666667,1.3611111111111112,0.6777777777777778,0.12777777777777777,0.07777777777777778,0.027777777777777776,0.022222222222222223,0.06111111111111111,0,Literal
0.7058823529411765,19.125,1.9607843137254901,0.0,0.058823529411764705,7.6,8.43,0.0,0.0,0.0,3.803921568627451,153.0,8.0,15.495463045678887,0.1568627450980392,0.5032679738562091,4.281045751633987,1.3333333333333333,0.6993464052287581,0.1111111111111111,0.0784313725490196,0.0392156862745098,0.013071895424836602,0.0457516339869281,0,Literal
0.6756756756756757,37.0,4.72972972972973,0.0,0.033783783783783786,15.58,16.69,0.0,0.0,0.0,4.614864864864865,148.0,4.0,18.261982367749674,0.14864864864864866,0.5878378378378378,4.472972972972973,1.4189189189189189,0.6959459459459459,0.13513513513513514,0.060810810810810814,0.06756756756756757,0.0,0.033783783783783786,2,Evaluative
0.625,19.555555555555557,0.0,0.0,0.05113636363636364,5.98,7.82,0.0,0.0,0.0,3.4431818181818183,176.0,9.0,9.226906440900752,0.16477272727272727,0.6647727272727273,3.5454545454545454,1.1818181818181819,0.7386363636363636,0.11931818181818182,0.0625,0.028409090909090908,0.005681818181818182,0.045454545454545456,0,Literal
0.56,8.823529411764707,1.3333333333333335,0.0,0.013333333333333334,4.21,4.06,0.0,0.0,0.0,2.3866666666666667,150.0,17.0,4.780294036214128,0.13333333333333333,0.4266666666666667,4.52,1.3866666666666667,0.6866666666666666,0.19333333333333333,0.05333333333333334,0.05333333333333334,0.0,0.013333333333333334,0,Literal
0.6965174129353234,20.1,1.9900497512437811,0.0,0.03980099502487562,7.81,8.84,0.0,0.0,0.0,4.482587064676617,201.0,10.0,13.661991070118587,0.22885572139303484,0.5870646766169154,4.248756218905473,1.318407960199005,0.6567164179104478,0.1691542288557214,0.08955223880597014,0.03482587064676617,0.014925373134328358,0.024875621890547265,0,Literal
0.5513513513513514,20.555555555555557,7.027027027027027,0.0,0.010810810810810811,11.69,11.03,0.0,0.0,0.0,3.0108108108108107,185.0,9.0,5.656854249492381,0.11891891891891893,0.5405405405405406,5.0864864864864865,1.6324324324324324,0.6486486486486487,0.20540540540540542,0.10810810810810811,0.02702702702702703,0.0,0.010810810810810811,0,Literal
